Date,Demanded_Gas
1/1/2005,1819.585
2/1/2005,1895.325
3/1/2005,1765.856
4/1/2005,1642.696
5/1/2005,1895.54
6/1/2005,2051.723
7/1/2005,1962.054
8/1/2005,1889.656
9/1/2005,1739.1
10/1/2005,1695.917
11/1/2005,1648.948
12/1/2005,1560.985
1/1/2006,1610.451
2/1/2006,1806.332
3/1/2006,2006.884
4/1/2006,2108.311
5/1/2006,2298.896
6/1/2006,2398.883
7/1/2006,2480.623
8/1/2006,2413.083
9/1/2006,2298.488
10/1/2006,2273.91
11/1/2006,2134.41
12/1/2006,2025.984
1/1/2007,2108.85
2/1/2007,2006.814
3/1/2007,2259.022
4/1/2007,2036.617
5/1/2007,2361.78
6/1/2007,2567.222
7/1/2007,2618.43
8/1/2007,2579.353
9/1/2007,2506.835
10/1/2007,2657.244
11/1/2007,2577.968
12/1/2007,2489.389
1/1/2008,2548.328
2/1/2008,2548.328
3/1/2008,2575.714
4/1/2008,2600.265
5/1/2008,2562.914
6/1/2008,2689.595
7/1/2008,2598.57
8/1/2008,2561.867
9/1/2008,2404.844
10/1/2008,2503.783
11/1/2008,2482.931
12/1/2008,2383.919
1/1/2009,2364.048
2/1/2009,2377.216
3/1/2009,2536.697
4/1/2009,2585.328
5/1/2009,2782.321
6/1/2009,2786.683
7/1/2009,2865.998
8/1/2009,2939.052
9/1/2009,2943.112
10/1/2009,2733.51
11/1/2009,2679.06
12/1/2009,2615.283
1/1/2010,2452.179
2/1/2010,2415.372
3/1/2010,2460.19
4/1/2010,2643.899
5/1/2010,2864.355
6/1/2010,2991.733
7/1/2010,2917.255
8/1/2010,2846.517
9/1/2010,2540.739
10/1/2010,2551.872
11/1/2010,2655.23
12/1/2010,2690.017
1/1/2011,2662.784
2/1/2011,2741.304
3/1/2011,2802.848
4/1/2011,2787.802
5/1/2011,2964.662
6/1/2011,3073.948
7/1/2011,3065.731
8/1/2011,3016.1
9/1/2011,2822.187
10/1/2011,2670.824
11/1/2011,2591.474
12/1/2011,2665.526
1/1/2012,2732.347
2/1/2012,2732.347
3/1/2012,2772.881
4/1/2012,2619.308
5/1/2012,2955.931
6/1/2012,3118.815
7/1/2012,3035.232
8/1/2012,3107.214
9/1/2012,3037.407
10/1/2012,2766.586
11/1/2012,2681.802
12/1/2012,2602.728
1/1/2013,2823.505
2/1/2013,2864.931
3/1/2013,2761.36
4/1/2013,2893.013
5/1/2013,3112.878
6/1/2013,3258.902
7/1/2013,3238.748
8/1/2013,3315.436
9/1/2013,3305.585
10/1/2013,3079.38
11/1/2013,2825.444
12/1/2013,2759.084
1/1/2014,2837.057
2/1/2014,2933.254
3/1/2014,2997.461
4/1/2014,3181.928
5/1/2014,3201.209
6/1/2014,3248.362
7/1/2014,3064.227
8/1/2014,3370.221
9/1/2014,3547.073
10/1/2014,3284.34
11/1/2014,3073.006
12/1/2014,2940.489
1/1/2015,3214.035
2/1/2015,3310.426
3/1/2015,3296.654
4/1/2015,3109.792
5/1/2015,3253.824
6/1/2015,3358.52
7/1/2015,3658.488
8/1/2015,3432.336
9/1/2015,3514.518
10/1/2015,3417.369
11/1/2015,3324.197
12/1/2015,3490.297
1/1/2016,3143.122
2/1/2016,3143.122
3/1/2016,3150.763
4/1/2016,3282.645
5/1/2016,3130.28
6/1/2016,3575.487
7/1/2016,3614.353
8/1/2016,3576.18
9/1/2016,3465.074
10/1/2016,3381.477
11/1/2016,3167.43
12/1/2016,2879.863
1/1/2017,2690.933
2/1/2017,2815.475
3/1/2017,2838.201
4/1/2017,2914.008
5/1/2017,3119.046
6/1/2017,3253.942
7/1/2017,3491.191
8/1/2017,3491.773
9/1/2017,3339.667
10/1/2017,3017.182
11/1/2017,3135.403
12/1/2017,2983.605
1/1/2018,3041.46
2/1/2018,3186.84
3/1/2018,3203.368
4/1/2018,3222.518
5/1/2018,3270.328
6/1/2018,3479.688
7/1/2018,3751.092
8/1/2018,3620.709
9/1/2018,3664.343
10/1/2018,3765.69
11/1/2018,3772.252
12/1/2018,3676.414
1/1/2019,3500.08
2/1/2019,3647.597
3/1/2019,3807.714
4/1/2019,3750.505
5/1/2019,3876.481
6/1/2019,4184.756
7/1/2019,4361.974
8/1/2019,4343.611
9/1/2019,4445.273
10/1/2019,3037.441
11/1/2019,3076.623
12/1/2019,2947.094
1/1/2020,3402.472
2/1/2020,3512.452
3/1/2020,3819.296
4/1/2020,4235.255
5/1/2020,4387.91
6/1/2020,5168.267
7/1/2020,4581.994
8/1/2020,4163.774
9/1/2020,4451.613
10/1/2020,3869.766
11/1/2020,3996.138
12/1/2020,3941.119
1/1/2021,3298.428
2/1/2021,3454.211
3/1/2021,3681.295
4/1/2021,4104.817
5/1/2021,4243.934
6/1/2021,4985.526
7/1/2021,4631.854
8/1/2021,4098.808
9/1/2021,4424.394
10/1/2021,4417.514
11/1/2021,4557.36
12/1/2021,4538.887
1/1/2022,3947.786
2/1/2022,4046.826
3/1/2022,4072.984
4/1/2022,4717.299
5/1/2022,4720.539
6/1/2022,4767.978
7/1/2022,4606.88
8/1/2022,4575.179
9/1/2022,4639.519
10/1/2022,4083.041
11/1/2022,4138.196
12/1/2022,4119.271
1/1/2023,4026.742
2/1/2023,4127.763
3/1/2023,4154.443
4/1/2023,4275.551
5/1/2023,4376.446
6/1/2023,4863.337
7/1/2023,3924.54
8/1/2023,3781.63
9/1/2023,3842.285
