Date,Demanded_Gas
1/1/2005,2039.875
2/1/2005,2015.255
3/1/2005,1969.507
4/1/2005,2008.187
5/1/2005,2041.864
6/1/2005,2089.819
7/1/2005,1962.257
8/1/2005,2070.458
9/1/2005,2080.82
10/1/2005,2050.558
11/1/2005,1971.142
12/1/2005,2059.679
1/1/2006,2161.658
2/1/2006,2178.753
3/1/2006,2117.61
4/1/2006,2165.245
5/1/2006,2142.033
6/1/2006,2180.682
7/1/2006,2191.057
8/1/2006,2193.12
9/1/2006,2163.428
10/1/2006,2150.044
11/1/2006,2091.419
12/1/2006,2180.867
1/1/2007,2166.371
2/1/2007,2177.097
3/1/2007,2144.011
4/1/2007,2205.253
5/1/2007,2248.098
6/1/2007,2191.768
7/1/2007,2079.129
8/1/2007,1990.861
9/1/2007,2043.546
10/1/2007,2078.94
11/1/2007,2021.582
12/1/2007,2161.496
1/1/2008,2262.277
2/1/2008,2262.277
3/1/2008,2204.402
4/1/2008,2154.509
5/1/2008,2197.33
6/1/2008,2131.42
7/1/2008,2185.469
8/1/2008,2201.805
9/1/2008,2155.234
10/1/2008,2143.019
11/1/2008,2057.718
12/1/2008,2178.664
1/1/2009,2193.174
2/1/2009,2169.754
3/1/2009,2240.481
4/1/2009,2188.577
5/1/2009,2067.09
6/1/2009,2246.322
7/1/2009,2218.415
8/1/2009,2187.953
9/1/2009,2143.112
10/1/2009,1939.149
11/1/2009,2048.566
12/1/2009,2153.558
1/1/2010,2282.17
2/1/2010,2251.902
3/1/2010,2285.649
4/1/2010,2300.34
5/1/2010,2277.502
6/1/2010,2267.602
7/1/2010,2232.056
8/1/2010,2220.007
9/1/2010,2246.233
10/1/2010,2204.506
11/1/2010,2131.611
12/1/2010,2140.822
1/1/2011,2202.115
2/1/2011,2201.194
3/1/2011,2219.615
4/1/2011,2242.323
5/1/2011,2210.57
6/1/2011,2189.311
7/1/2011,2155.281
8/1/2011,2068.814
9/1/2011,2129.714
10/1/2011,2243.929
11/1/2011,2186.018
12/1/2011,2187.389
1/1/2012,2292.027
2/1/2012,2292.027
3/1/2012,2268.436
4/1/2012,2329.379
5/1/2012,2307.452
6/1/2012,2266.436
7/1/2012,2263.475
8/1/2012,2324.258
9/1/2012,2274.212
10/1/2012,2228.585
11/1/2012,2296.475
12/1/2012,2183.521
1/1/2013,2278.37
2/1/2013,2236.564
3/1/2013,2301.925
4/1/2013,2253.862
5/1/2013,2204.595
6/1/2013,2238.482
7/1/2013,2335.452
8/1/2013,2350.709
9/1/2013,2266.516
10/1/2013,2293.646
11/1/2013,2276.832
12/1/2013,2224.715
1/1/2014,2303.221
2/1/2014,2275.992
3/1/2014,2310.5
4/1/2014,2281.402
5/1/2014,2268.871
6/1/2014,2314.634
7/1/2014,2315.726
8/1/2014,2291.085
9/1/2014,2274.845
10/1/2014,2328.295
11/1/2014,2152.161
12/1/2014,2187.688
1/1/2015,2245.817
2/1/2015,2268.122
3/1/2015,2231.31
4/1/2015,2098.502
5/1/2015,2206.078
6/1/2015,2226.412
7/1/2015,2255.069
8/1/2015,2233.78
9/1/2015,2208.684
10/1/2015,2183.336
11/1/2015,2057.889
12/1/2015,2184.989
1/1/2016,2122.124
2/1/2016,2122.124
3/1/2016,2163.924
4/1/2016,2072.924
5/1/2016,2104.642
6/1/2016,2158.62
7/1/2016,2181.206
8/1/2016,2228.513
9/1/2016,2153.05
10/1/2016,2143.835
11/1/2016,2002.762
12/1/2016,2021.074
1/1/2017,2053.938
2/1/2017,2168.707
3/1/2017,2075.347
4/1/2017,2012.883
5/1/2017,2101.093
6/1/2017,2041.267
7/1/2017,2134.188
8/1/2017,2036.319
9/1/2017,1883.371
10/1/2017,1874.814
11/1/2017,1805.69
12/1/2017,1962.953
1/1/2018,1754.8
2/1/2018,1759.559
3/1/2018,1774.308
4/1/2018,1805.673
5/1/2018,1878.987
6/1/2018,1745.364
7/1/2018,1815.815
8/1/2018,1828.942
9/1/2018,1785.293
10/1/2018,1745.398
11/1/2018,1698.199
12/1/2018,1859.908
1/1/2019,1820.94
2/1/2019,1888.017
3/1/2019,1828.833
4/1/2019,1854.283
5/1/2019,1869.154
6/1/2019,1924.505
7/1/2019,1920.042
8/1/2019,1809.287
9/1/2019,1806.764
10/1/2019,1782.602
11/1/2019,1794.634
12/1/2019,1818.349
1/1/2020,1863.277
2/1/2020,1592.28
3/1/2020,1799.175
4/1/2020,1848.19
5/1/2020,1839.681
6/1/2020,1786.966
7/1/2020,1900.314
8/1/2020,1827.312
9/1/2020,1839.667
10/1/2020,1841.231
11/1/2020,1824.711
12/1/2020,1802.585
1/1/2021,1819.259
2/1/2021,1778.155
3/1/2021,1743.165
4/1/2021,1665.165
5/1/2021,1785.32
6/1/2021,1870.67
7/1/2021,1889.199
8/1/2021,1933.018
9/1/2021,1956.838
10/1/2021,1904.215
11/1/2021,1845.705
12/1/2021,1857.401
1/1/2022,1854.424
2/1/2022,1947.411
3/1/2022,2002.632
4/1/2022,1929.43
5/1/2022,1919.429
6/1/2022,1878.572
7/1/2022,1979.696
8/1/2022,2024.823
9/1/2022,1956.582
10/1/2022,1962.773
11/1/2022,1850.566
12/1/2022,1776.714
1/1/2023,1839.367
2/1/2023,1741.797
3/1/2023,1761.295
4/1/2023,1742.201
5/1/2023,1663.904
6/1/2023,1671.033
7/1/2023,1375.367
8/1/2023,1524.381
9/1/2023,1580.999
