Date,Demanded_Gas
1/1/2005,152.096
2/1/2005,159.992
3/1/2005,114.877
4/1/2005,97.182
5/1/2005,89.744
6/1/2005,79.576
7/1/2005,78.868
8/1/2005,81.248
9/1/2005,84.803
10/1/2005,94.76
11/1/2005,117.495
12/1/2005,160.554
1/1/2006,142.983
2/1/2006,134.402
3/1/2006,109.338
4/1/2006,94.816
5/1/2006,90.252
6/1/2006,84.982
7/1/2006,84.755
8/1/2006,86.098
9/1/2006,91.856
10/1/2006,101.146
11/1/2006,123.065
12/1/2006,174.222
1/1/2007,213.995
2/1/2007,158.922
3/1/2007,119.366
4/1/2007,101.16
5/1/2007,95.966
6/1/2007,88.448
7/1/2007,84.161
8/1/2007,87.501
9/1/2007,88.732
10/1/2007,98.341
11/1/2007,120.889
12/1/2007,119.737
1/1/2008,179.235
2/1/2008,179.235
3/1/2008,115.78
4/1/2008,105.66
5/1/2008,92.19
6/1/2008,86.947
7/1/2008,88.376
8/1/2008,85.865
9/1/2008,97.014
10/1/2008,104.051
11/1/2008,124.329
12/1/2008,149.504
1/1/2009,149.371
2/1/2009,137.395
3/1/2009,112.097
4/1/2009,97.015
5/1/2009,87.338
6/1/2009,83.002
7/1/2009,82.222
8/1/2009,81.477
9/1/2009,91.637
10/1/2009,99.679
11/1/2009,122.412
12/1/2009,165.722
1/1/2010,173.187
2/1/2010,155.819
3/1/2010,119.043
4/1/2010,104.989
5/1/2010,92.487
6/1/2010,87.314
7/1/2010,90.455
8/1/2010,89.194
9/1/2010,93.231
10/1/2010,99.396
11/1/2010,117.479
12/1/2010,144.013
1/1/2011,153.919
2/1/2011,155.144
3/1/2011,106.282
4/1/2011,88.139
5/1/2011,85.432
6/1/2011,80.337
7/1/2011,85.738
8/1/2011,83.698
9/1/2011,85.922
10/1/2011,99.165
11/1/2011,118.955
12/1/2011,160.721
1/1/2012,161.583
2/1/2012,161.583
3/1/2012,125.453
4/1/2012,98.391
5/1/2012,93.637
6/1/2012,88.776
7/1/2012,87.268
8/1/2012,88.985
9/1/2012,93.522
10/1/2012,100.497
11/1/2012,118.245
12/1/2012,147.115
1/1/2013,178.645
2/1/2013,151.073
3/1/2013,119.641
4/1/2013,102.201
5/1/2013,97.231
6/1/2013,88.959
7/1/2013,85.458
8/1/2013,88.9
9/1/2013,98.106
10/1/2013,108.086
11/1/2013,136.479
12/1/2013,157.218
1/1/2014,186.617
2/1/2014,157.167
3/1/2014,128.521
4/1/2014,104.878
5/1/2014,100.053
6/1/2014,91.659
7/1/2014,89.111
8/1/2014,87.578
9/1/2014,99.858
10/1/2014,106.806
11/1/2014,138.253
12/1/2014,151.411
1/1/2015,195.05
2/1/2015,163.991
3/1/2015,141.033
4/1/2015,125.719
5/1/2015,113.998
6/1/2015,108.027
7/1/2015,101.652
8/1/2015,98.724
9/1/2015,106.368
10/1/2015,106.221
11/1/2015,136.903
12/1/2015,167.513
1/1/2016,199.052
2/1/2016,199.052
3/1/2016,132.945
4/1/2016,124.193
5/1/2016,114.558
6/1/2016,109.819
7/1/2016,105.105
8/1/2016,109.154
9/1/2016,112.55
10/1/2016,120.102
11/1/2016,142.44
12/1/2016,170.594
1/1/2017,171.052
2/1/2017,148.481
3/1/2017,126.669
4/1/2017,123.263
5/1/2017,115.268
6/1/2017,108.589
7/1/2017,124.67
8/1/2017,121.343
9/1/2017,117.494
10/1/2017,129.953
11/1/2017,137.893
12/1/2017,147.424
1/1/2018,164.583
2/1/2018,154.971
3/1/2018,138.666
4/1/2018,145.295
5/1/2018,141.576
6/1/2018,138.652
7/1/2018,144.169
8/1/2018,133.787
9/1/2018,138.112
10/1/2018,130.77
11/1/2018,135.054
12/1/2018,131.13
1/1/2019,171.969
2/1/2019,161.997
3/1/2019,143.909
4/1/2019,151.456
5/1/2019,147.682
6/1/2019,143.894
7/1/2019,149.693
8/1/2019,139.165
9/1/2019,143.034
10/1/2019,136.552
11/1/2019,141.125
12/1/2019,137.054
1/1/2020,161.909
2/1/2020,144.344
3/1/2020,131.191
4/1/2020,138.46
5/1/2020,53.484
6/1/2020,55.23
7/1/2020,31.412
8/1/2020,26.607
9/1/2020,36.939
10/1/2020,148.324
11/1/2020,153.468
12/1/2020,149.084
1/1/2021,93.077
2/1/2021,85.229
3/1/2021,73.218
4/1/2021,103.831
5/1/2021,99.209
6/1/2021,92.949
7/1/2021,112.564
8/1/2021,109.434
9/1/2021,100.533
10/1/2021,112.531
11/1/2021,91.981
12/1/2021,127.691
1/1/2022,107.384
2/1/2022,100.933
3/1/2022,89.417
4/1/2022,94.568
5/1/2022,91.528
6/1/2022,89.62
7/1/2022,94.01
8/1/2022,87.092
9/1/2022,89.456
10/1/2022,86.789
11/1/2022,89.028
12/1/2022,86.561
1/1/2023,108.593
2/1/2023,101.536
3/1/2023,89.727
4/1/2023,95.567
5/1/2023,92.484
6/1/2023,90.629
7/1/2023,95.059
8/1/2023,88.038
9/1/2023,90.462
