Date,Demanded_Gas
1/1/2005,5176.015
2/1/2005,5258.329
3/1/2005,4971.291
4/1/2005,4934.576
5/1/2005,5160.325
6/1/2005,5404.298
7/1/2005,5129.745
8/1/2005,5215.837
9/1/2005,5035.884
10/1/2005,4968.442
11/1/2005,4911.473
12/1/2005,4897.946
1/1/2006,5093.393
2/1/2006,5309.308
3/1/2006,5429.847
4/1/2006,5519.013
5/1/2006,5803.213
6/1/2006,5953.747
7/1/2006,6025.457
8/1/2006,5984.675
9/1/2006,5837.793
10/1/2006,5867.907
11/1/2006,5637.33
12/1/2006,5585.734
1/1/2007,5801.336
2/1/2007,5624.311
3/1/2007,5800.072
4/1/2007,5595.735
5/1/2007,6014.567
6/1/2007,6140.052
7/1/2007,6036.444
8/1/2007,5986.664
9/1/2007,5805.418
10/1/2007,6194.433
11/1/2007,6051.103
12/1/2007,6026.94
1/1/2008,6355.878
2/1/2008,6355.878
3/1/2008,6168.725
4/1/2008,6193.127
5/1/2008,6147.45
6/1/2008,6190.317
7/1/2008,6185.091
8/1/2008,6154.415
9/1/2008,5959.945
10/1/2008,5991.659
11/1/2008,5872.989
12/1/2008,5739.212
1/1/2009,5745.54
2/1/2009,5818.46
3/1/2009,5998.733
4/1/2009,5952.382
5/1/2009,6078.838
6/1/2009,6282.62
7/1/2009,6321.089
8/1/2009,6343.131
9/1/2009,6360.714
10/1/2009,6041.401
11/1/2009,6142.383
12/1/2009,6145.645
1/1/2010,6229.914
2/1/2010,6181.774
3/1/2010,6194.518
4/1/2010,6328.747
5/1/2010,6528.561
6/1/2010,6638.977
7/1/2010,6527.641
8/1/2010,6459.228
9/1/2010,6214.493
10/1/2010,6202.096
11/1/2010,6275.246
12/1/2010,6296.794
1/1/2011,6426.653
2/1/2011,6522.881
3/1/2011,6507.2
4/1/2011,6502.284
5/1/2011,6645.417
6/1/2011,6739.082
7/1/2011,6666.594
8/1/2011,6582.623
9/1/2011,6434.059
10/1/2011,6430.846
11/1/2011,6310.527
12/1/2011,6377.572
1/1/2012,6567.769
2/1/2012,6567.769
3/1/2012,6577.556
4/1/2012,6451.822
5/1/2012,6786.097
6/1/2012,6933.168
7/1/2012,6830.157
8/1/2012,7008.629
9/1/2012,6872.148
10/1/2012,6592.473
11/1/2012,6629.748
12/1/2012,6379.834
1/1/2013,6821.543
2/1/2013,6807.755
3/1/2013,6725.53
4/1/2013,6774.418
5/1/2013,6921.933
6/1/2013,7072.617
7/1/2013,7249.198
8/1/2013,7323.703
9/1/2013,7210.496
10/1/2013,7054.811
11/1/2013,6815.235
12/1/2013,6639.025
1/1/2014,6949.47
2/1/2014,7022.791
3/1/2014,7104.56
4/1/2014,7210.547
5/1/2014,7224.042
6/1/2014,7313.082
7/1/2014,7151.001
8/1/2014,7420.739
9/1/2014,7588.049
10/1/2014,7448.609
11/1/2014,7114.246
12/1/2014,6959.336
1/1/2015,7432.102
2/1/2015,7549.193
3/1/2015,7419.951
4/1/2015,7014.876
5/1/2015,7318.809
6/1/2015,7488.33
7/1/2015,7859.643
8/1/2015,7647.104
9/1/2015,7753.503
10/1/2015,7591.208
11/1/2015,7341.588
12/1/2015,7623.66
1/1/2016,7405.524
2/1/2016,7405.524
3/1/2016,7399.056
4/1/2016,7525.459
5/1/2016,7397.003
6/1/2016,7908.937
7/1/2016,7956.343
8/1/2016,7998.66
9/1/2016,7801.933
10/1/2016,7884.363
11/1/2016,7610.507
12/1/2016,7206.936
1/1/2017,7200.941
2/1/2017,7424.361
3/1/2017,7343.824
4/1/2017,7242.605
5/1/2017,7584.306
6/1/2017,7704.254
7/1/2017,8258.792
8/1/2017,8117.699
9/1/2017,7815.98
10/1/2017,7479.946
11/1/2017,7591.886
12/1/2017,7557.565
1/1/2018,7619.474
2/1/2018,7728.299
3/1/2018,7840.539
4/1/2018,7739.622
5/1/2018,7837.588
6/1/2018,8030.169
7/1/2018,8292.541
8/1/2018,8267.545
9/1/2018,8209.95
10/1/2018,8055.882
11/1/2018,8052.301
12/1/2018,7927.43
1/1/2019,7902.343
2/1/2019,8122.6
3/1/2019,8166.414
4/1/2019,8053.875
5/1/2019,8235.743
6/1/2019,8628.299
7/1/2019,8993.919
8/1/2019,8934.896
9/1/2019,9058.403
10/1/2019,7282.113
11/1/2019,7390.661
12/1/2019,7144.196
1/1/2020,7831.583
2/1/2020,7234.82
3/1/2020,7938.295
4/1/2020,7928.925
5/1/2020,7967.007
6/1/2020,8878.389
7/1/2020,10265.421
8/1/2020,8068.434
9/1/2020,9279.518
10/1/2020,7290.056
11/1/2020,7395.813
12/1/2020,7245.577
1/1/2021,7438.808
2/1/2021,7132.971
3/1/2021,8497.784
4/1/2021,7757.688
5/1/2021,8305.158
6/1/2021,9316.1
7/1/2021,9255.921
8/1/2021,8464.915
9/1/2021,8176.696
10/1/2021,8204.94
11/1/2021,7668.455
12/1/2021,8227.622
1/1/2022,8126.255
2/1/2022,7790.445
3/1/2022,9224.254
4/1/2022,8352.515
5/1/2022,8692.273
6/1/2022,8851.433
7/1/2022,9252.496
8/1/2022,8957.842
9/1/2022,8078.561
10/1/2022,7751.912
11/1/2022,6921.741
12/1/2022,7436.708
1/1/2023,8286.752
2/1/2023,7728.131
3/1/2023,9143.067
4/1/2023,7817.064
5/1/2023,8193.326
6/1/2023,8913.46
7/1/2023,8031.15
8/1/2023,7706.012
9/1/2023,6939.087
