Date,Demanded_Gas
1/1/2005,1164.459
2/1/2005,1187.757
3/1/2005,1121.051
4/1/2005,1186.511
5/1/2005,1133.177
6/1/2005,1183.18
7/1/2005,1126.566
8/1/2005,1174.475
9/1/2005,1131.161
10/1/2005,1127.207
11/1/2005,1173.888
12/1/2005,1116.728
1/1/2006,1178.301
2/1/2006,1189.821
3/1/2006,1196.015
4/1/2006,1150.641
5/1/2006,1272.032
6/1/2006,1289.2
7/1/2006,1269.022
8/1/2006,1292.374
9/1/2006,1284.021
10/1/2006,1342.807
11/1/2006,1288.436
12/1/2006,1204.661
1/1/2007,1312.12
2/1/2007,1281.478
3/1/2007,1277.673
4/1/2007,1252.705
5/1/2007,1308.723
6/1/2007,1292.614
7/1/2007,1254.724
8/1/2007,1328.949
9/1/2007,1166.305
10/1/2007,1359.908
11/1/2007,1330.664
12/1/2007,1256.318
1/1/2008,1366.038
2/1/2008,1366.038
3/1/2008,1272.829
4/1/2008,1332.693
5/1/2008,1295.016
6/1/2008,1282.355
7/1/2008,1312.676
8/1/2008,1304.878
9/1/2008,1302.853
10/1/2008,1240.806
11/1/2008,1208.011
12/1/2008,1027.125
1/1/2009,1038.947
2/1/2009,1134.095
3/1/2009,1109.458
4/1/2009,1081.462
5/1/2009,1142.089
6/1/2009,1166.613
7/1/2009,1154.454
8/1/2009,1134.649
9/1/2009,1182.853
10/1/2009,1269.063
11/1/2009,1292.345
12/1/2009,1211.082
1/1/2010,1322.378
2/1/2010,1358.681
3/1/2010,1329.636
4/1/2010,1279.519
5/1/2010,1294.217
6/1/2010,1292.328
7/1/2010,1287.875
8/1/2010,1303.51
9/1/2010,1334.29
10/1/2010,1346.322
11/1/2010,1370.926
12/1/2010,1321.942
1/1/2011,1407.835
2/1/2011,1425.239
3/1/2011,1378.455
4/1/2011,1384.02
5/1/2011,1384.753
6/1/2011,1395.486
7/1/2011,1359.844
8/1/2011,1414.011
9/1/2011,1396.236
10/1/2011,1416.928
11/1/2011,1414.08
12/1/2011,1363.936
1/1/2012,1381.812
2/1/2012,1381.812
3/1/2012,1410.786
4/1/2012,1404.744
5/1/2012,1429.077
6/1/2012,1459.141
7/1/2012,1444.182
8/1/2012,1488.172
9/1/2012,1467.007
10/1/2012,1496.805
11/1/2012,1533.226
12/1/2012,1446.47
1/1/2013,1541.023
2/1/2013,1555.187
3/1/2013,1542.604
4/1/2013,1525.342
5/1/2013,1507.229
6/1/2013,1486.274
7/1/2013,1589.54
8/1/2013,1568.658
9/1/2013,1540.289
10/1/2013,1573.699
11/1/2013,1576.48
12/1/2013,1498.008
1/1/2014,1622.575
2/1/2014,1656.378
3/1/2014,1668.078
4/1/2014,1642.339
5/1/2014,1653.909
6/1/2014,1658.427
7/1/2014,1681.937
8/1/2014,1671.855
9/1/2014,1666.273
10/1/2014,1729.168
11/1/2014,1750.826
12/1/2014,1679.748
1/1/2015,1777.2
2/1/2015,1806.654
3/1/2015,1750.954
4/1/2015,1680.863
5/1/2015,1744.909
6/1/2015,1795.371
7/1/2015,1844.434
8/1/2015,1882.264
9/1/2015,1923.933
10/1/2015,1884.282
11/1/2015,1822.599
12/1/2015,1780.861
1/1/2016,1941.226
2/1/2016,1941.226
3/1/2016,1951.424
4/1/2016,2045.697
5/1/2016,2047.523
6/1/2016,2065.011
7/1/2016,2055.679
8/1/2016,2084.813
9/1/2016,2071.259
10/1/2016,2238.949
11/1/2016,2297.875
12/1/2016,2135.405
1/1/2017,2285.018
2/1/2017,2291.698
3/1/2017,2303.607
4/1/2017,2192.451
5/1/2017,2248.899
6/1/2017,2300.456
7/1/2017,2508.743
8/1/2017,2468.264
9/1/2017,2475.448
10/1/2017,2457.997
11/1/2017,2512.9
12/1/2017,2463.583
1/1/2018,2658.631
2/1/2018,2626.929
3/1/2018,2724.197
4/1/2018,2566.136
5/1/2018,2546.697
6/1/2018,2666.465
7/1/2018,2581.465
8/1/2018,2684.107
9/1/2018,2622.202
10/1/2018,2414.024
11/1/2018,2446.796
12/1/2018,2259.978
1/1/2019,2409.354
2/1/2019,2424.989
3/1/2019,2385.958
4/1/2019,2297.631
5/1/2019,2342.426
6/1/2019,2375.144
7/1/2019,2562.21
8/1/2019,2642.833
9/1/2019,2663.332
10/1/2019,2325.518
11/1/2019,2378.279
12/1/2019,2241.699
1/1/2020,2403.925
2/1/2020,1985.744
3/1/2020,2188.633
4/1/2020,1707.02
5/1/2020,1685.932
6/1/2020,1867.926
7/1/2020,3751.701
8/1/2020,2050.741
9/1/2020,2951.299
10/1/2020,1430.735
11/1/2020,1421.496
12/1/2020,1352.789
1/1/2021,2228.044
2/1/2021,1815.376
3/1/2021,3000.106
4/1/2021,1883.875
5/1/2021,2176.695
6/1/2021,2366.955
7/1/2021,2622.304
8/1/2021,2323.655
9/1/2021,1694.931
10/1/2021,1770.68
11/1/2021,1173.409
12/1/2021,1703.643
1/1/2022,2216.661
2/1/2022,1695.275
3/1/2022,3059.221
4/1/2022,1611.218
5/1/2022,1960.777
6/1/2022,2115.263
7/1/2022,2571.91
8/1/2022,2270.748
9/1/2022,1393.004
10/1/2022,1619.309
11/1/2022,843.951
12/1/2022,1454.162
1/1/2023,2312.05
2/1/2023,1757.035
3/1/2023,3137.602
4/1/2023,1703.745
5/1/2023,2060.492
6/1/2023,2288.461
7/1/2023,2636.184
8/1/2023,2311.963
9/1/2023,1425.341
